w3, 1/y, x/y, a, b
1462, 1/3, 2/3, 5, -1
-283523, 1/-2, -9/-2, -11, -7
129286, 1/5, 6/5, 11, 1
598, 1/-1, 2/-1, 1, 3
30148, 1/1, 5/1, 6, 4
351841, 1/-4, 8/-4, 4, 12
156313, 1/-6, 6/-6, 0, 12
-1355, 1/-6, -1/-6, -7, 5
-310424, 1/9, -7/9, 2, -16
-4410, 1/7, -2/7, 5, -9
745615, 1/-6, 9/-6, 3, 15
-2486, 1/-7, -1/-7, -8, 6
99652, 1/7, 5/7, 12, -2
-68504, 1/1, -7/1, -6, -8
1255183, 1/10, 9/10, 19, -1
-28418, 1/7, -4/7, 3, -11
52363, 1/4, 5/4, 9, 1
77017, 1/-2, 6/-2, 4, 8
-577598, 1/7, -9/7, -2, -16
-1032623, 1/-8, -10/-8, -18, -2
2281, 1/10, 2/10, 12, -8
-1188122, 1/9, -10/9, -1, -19
-208287, 1/-4, -8/-4, -12, -4
311710, 1/-3, 8/-3, 5, 11
-8117, 1/-6, -3/-6, -9, 3
200613, 1/4, 7/4, 11, 3
-427263, 1/-8, -8/-8, -16, 0
-1367, 1/6, 0/6, 6, -6
99652, 1/-7, 5/-7, -2, 12
-2486, 1/7, -1/7, 6, -8
-2486, 1/-7, -1/-7, -8, 6
200613, 1/-4, 7/-4, 3, 11
849784, 1/7, 9/7, 16, 2
265726, 1/-1, 8/-1, 7, 9
57249, 1/-8, 4/-8, -4, 12
487759, 1/2, 9/2, 11, 7
-4223, 1/8, 0/8, 8, -8
-452, 1/-1, -3/-1, -4, -2
-25887, 1/-4, -5/-4, -9, -1
-97322, 1/-9, -5/-9, -14, 4
487759, 1/-2, 9/-2, 7, 11
120427, 1/-8, 5/-8, -3, 13
-298967, 1/-6, -8/-6, -14, -2
-180170, 1/-9, -6/-9, -15, 3
-358338, 1/7, -8/7, -1, -15
3433, 1/6, 2/6, 8, -4
-2759, 1/6, -2/6, 4, -8
-3437, 1/-4, -3/-4, -7, 1
311710, 1/3, 8/3, 11, 5
282985, 1/-2, 8/-2, 6, 10
29598, 1/5, 4/5, 9, -1
764598, 1/1, 10/1, 11, 9
849784, 1/-7, 9/-7, 2, 16
120427, 1/8, 5/8, 13, -3
-6818, 1/-3, -4/-3, -7, -1
-488423, 1/-2, -10/-2, -12, -8
-92120, 1/-3, -7/-3, -10, -4
-144, 1/-5, 1/-5, -4, 6
-98, 1/3, 0/3, 3, -3
-577598, 1/-7, -9/-7, -16, -2
-43946, 1/-3, -6/-3, -9, -3
-676523, 1/8, -9/8, -1, -17
1290102, 1/7, 10/7, 17, 3
969559, 1/-8, 9/-8, 1, 17
-895898, 1/-7, -10/-7, -17, -3
929313, 1/-4, 10/-4, 6, 14
969559, 1/8, 9/8, 17, 1
-77345, 1/2, -7/2, -5, -9
-140802, 1/1, -8/1, -7, -9
-310424, 1/-9, -7/-9, -16, 2
1255183, 1/-10, 9/-10, -1, 19
-15074, 1/-5, -4/-5, -9, 1
-139736, 1/5, -7/5, -2, -12
-48002, 1/-9, -4/-9, -13, 5
-895898, 1/7, -10/7, -3, -17
25246, 1/9, 3/9, 12, -6
-77345, 1/-2, -7/-2, -9, -5
-176738, 1/-3, -8/-3, -11, -5
-594519, 1/10, -8/10, 2, -18
10, 1/1, -1/1, 0, -2
11134, 1/-5, 3/-5, -2, 8
-492227, 1/6, -9/6, -3, -15
68350, 1/-9, 4/-9, -5, 13
849784, 1/-7, 9/-7, 2, 16
2113, 1/-4, 2/-4, -2, 6
6, 1/1, -2/1, -1, -3
120427, 1/8, 5/8, 13, -3
-25887, 1/-4, -5/-4, -9, -1
-420254, 1/-5, -9/-5, -14, -4
77017, 1/-2, 6/-2, 4, 8
-310424, 1/9, -7/9, 2, -16
29598, 1/-5, 4/-5, -1, 9
-678074, 1/5, -10/5, -5, -15
21625, 1/8, 3/8, 11, -5
69478, 1/-1, 6/-1, 5, 7
764598, 1/1, 10/1, 11, 9
937, 1/-2, 2/-2, 0, 4
-118346, 1/7, -6/7, 1, -13
-596687, 1/4, -10/4, -6, -14
-577598, 1/7, -9/7, -2, -16
