w3, 1/y, x/y, a, b
(-1/3)*(10), 1/3, 2/3, 5, -1
(-1/-2)*(-905), 1/-2, -9/-2, -11, -7
(-1/5)*(40), 1/5, 6/5, 11, 1
(-1/-1)*(30), 1/-1, 2/-1, 1, 3
(-1/1)*(204), 1/1, 5/1, 6, 4
(-1/-4)*(1770), 1/-4, 8/-4, 4, 12
(-1/-6)*(854), 1/-6, 6/-6, 0, 12
(-1/-6)*(-245), 1/-6, -1/-6, -7, 5
(-1/9)*(-1292), 1/9, -7/9, 2, -16
(-1/7)*(214), 1/7, -2/7, 5, -9
(-1/-6)*(2735), 1/-6, 9/-6, 3, 15
(-1/-7)*(-384), 1/-7, -1/-7, -8, 6
(-1/7)*(60), 1/7, 5/7, 12, -2
(-1/1)*(-780), 1/1, -7/1, -6, -8
(-1/10)*(31), 1/10, 9/10, 19, -1
(-1/7)*(-138), 1/7, -4/7, 3, -11
(-1/4)*(33), 1/4, 5/4, 9, 1
(-1/-2)*(670), 1/-2, 6/-2, 4, 8
(-1/7)*(-2768), 1/7, -9/7, -2, -16
(-1/-8)*(-90), 1/-8, -10/-8, -18, -2
(-1/10)*(822), 1/10, 2/10, 12, -8
(-1/9)*(-3932), 1/9, -10/9, -1, -19
(-1/-4)*(-278), 1/-4, -8/-4, -12, -4
(-1/-3)*(1624), 1/-3, 8/-3, 5, 11
(-1/-6)*(-145), 1/-6, -3/-6, -9, 3
(-1/4)*(205), 1/4, 7/4, 11, 3
(-1/-8)*(-14), 1/-8, -8/-8, -16, 0
(-1/6)*(194), 1/6, 0/6, 6, -6
(-1/-7)*(396), 1/-7, 5/-7, -2, 12
(-1/7)*(288), 1/7, -1/7, 6, -8
(-1/-7)*(-384), 1/-7, -1/-7, -8, 6
(-1/-4)*(1237), 1/-4, 7/-4, 3, 11
(-1/7)*(148), 1/7, 9/7, 16, 2
(-1/-1)*(1278), 1/-1, 8/-1, 7, 9
(-1/-8)*(-62), 1/-8, 4/-8, -4, 12
(-1/2)*(1063), 1/2, 9/2, 11, 7
(-1/8)*(466), 1/8, 0/8, 8, -8
(-1/-1)*(-20), 1/-1, -3/-1, -4, -2
(-1/-4)*(-11), 1/-4, -5/-4, -9, -1
(-1/-9)*(-376), 1/-9, -5/-9, -14, 4
(-1/-2)*(2011), 1/-2, 9/-2, 7, 11
(-1/-8)*(285), 1/-8, 5/-8, -3, 13
(-1/-6)*(-70), 1/-6, -8/-6, -14, -2
(-1/-9)*(-250), 1/-9, -6/-9, -15, 3
(-1/7)*(-1994), 1/7, -8/7, -1, -15
(-1/6)*(142), 1/6, 2/6, 8, -4
(-1/6)*(110), 1/6, -2/6, 4, -8
(-1/-4)*(-23), 1/-4, -3/-4, -7, 1
(-1/3)*(538), 1/3, 8/3, 11, 5
(-1/-2)*(1458), 1/-2, 8/-2, 6, 10
(-1/5)*(16), 1/5, 4/5, 9, -1
(-1/1)*(1804), 1/1, 10/1, 11, 9
(-1/-7)*(2836), 1/-7, 9/-7, 2, 16
(-1/8)*(141), 1/8, 5/8, 13, -3
