w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-1300, 1, 9, 10, 90, 8, 72, 100, 900, 64, 576, 512
-47100, 1, 29, 30, 870, 28, 812, 900, 26100, 784, 22736, 21952
20, 1, -2, -1, 2, -3, 6, 1, -2, 9, -18, -27
-2424, 1, 11, 12, 132, 10, 110, 144, 1584, 100, 1100, 1000
42280, -1, -27, -26, -702, -28, -756, -676, -18252, -784, -21168, -21952
-42340, 1, 28, 29, 812, 27, 756, 841, 23548, 729, 20412, 19683
-10370, -1, 18, 19, -342, 17, -306, -361, 6498, -289, 5202, 4913
-900, 1, 8, 9, 72, 7, 56, 81, 648, 49, 392, 343
-4, 1, 1, 2, 2, 0, 0, 4, 4, 0, 0, 0
3144, -1, -11, -10, -110, -12, -132, -100, -1100, -144, -1584, -1728
36500, 1, -26, -25, 650, -27, 702, 625, -16250, 729, -18954, -19683
-13000, 1, 19, 20, 380, 18, 342, 400, 7600, 324, 6156, 5832
6270, -1, -14, -13, -182, -15, -210, -169, -2366, -225, -3150, -3375
45468, 1, -28, -27, 756, -29, 812, 729, -20412, 841, -23548, -24389
50456, 1, -29, -28, 812, -30, 870, 784, -22736, 900, -26100, -27000
-12276, -1, 19, 20, -380, 18, -342, -400, 7600, -324, 6156, 5832
-5852, -1, 15, 16, -240, 14, -210, -256, 3840, -196, 2940, 2744
-770, -1, 8, 9, -72, 7, -56, -81, 648, -49, 392, 343
-4060, 1, 13, 14, 182, 12, 156, 196, 2548, 144, 1872, 1728
-9252, 1, 17, 18, 306, 16, 272, 324, 5508, 256, 4352, 4096
-20, -1, 3, 4, -12, 2, -6, -16, 48, -4, 12, 8
-17644, 1, 21, 22, 462, 20, 420, 484, 10164, 400, 8400, 8000
880, -1, -7, -6, -42, -8, -56, -36, -252, -64, -448, -512
-7170, -1, 16, 17, -272, 15, -240, -289, 4624, -225, 3600, 3375
190, -1, -4, -3, -12, -5, -20, -9, -36, -25, -100, -125
-50402, -1, 30, 31, -930, 29, -870, -961, 28830, -841, 25230, 24389
156, 1, -4, -3, 12, -5, 20, 9, -36, 25, -100, -125
7196, 1, -15, -14, 210, -16, 240, 196, -2940, 256, -3840, -4096
1278, -1, -8, -7, -56, -9, -72, -49, -392, -81, -648, -729
4, -1, -1, 0, 0, -2, -2, 0, 0, -4, -4, -8
7648, -1, -15, -14, -210, -16, -240, -196, -2940, -256, -3840, -4096
2398, -1, -10, -9, -90, -11, -110, -81, -810, -121, -1210, -1331
2196, 1, -10, -9, 90, -11, 110, 81, -810, 121, -1210, -1331
52140, -1, -29, -28, -812, -30, -870, -784, -22736, -900, -26100, -27000
17598, -1, -20, -19, -380, -21, -420, -361, -7220, -441, -8820, -9261
20284, -1, -21, -20, -420, -22, -462, -400, -8400, -484, -10164, -10648
-45416, -1, 29, 30, -870, 28, -812, -900, 26100, -784, 22736, 21952
-66, -1, 4, 5, -20, 3, -12, -25, 100, -9, 36, 27
-152, -1, 5, 6, -30, 4, -20, -36, 180, -16, 80, 64
-20332, 1, 22, 23, 506, 21, 462, 529, 11638, 441, 9702, 9261
-3172, 1, 12, 13, 156, 11, 132, 169, 2028, 121, 1452, 1331
-16760, -1, 21, 22, -462, 20, -420, -484, 10164, -400, 8400, 8000
1616, 1, -9, -8, 72, -10, 90, 64, -576, 100, -900, -1000
-290, -1, 6, 7, -42, 5, -30, -49, 294, -25, 150, 125
30, -1, -2, -1, -2, -3, -6, -1, -2, -9, -18, -27
2900, 1, -11, -10, 110, -12, 132, 100, -1100, 144, -1584, -1728
29950, -1, -24, -23, -552, -25, -600, -529, -12696, -625, -15000, -15625
-7684, 1, 16, 17, 272, 15, 240, 289, 4624, 225, 3600, 3375
-364, 1, 6, 7, 42, 5, 30, 49, 294, 25, 150, 125
22260, 1, -22, -21, 462, -23, 506, 441, -9702, 529, -11638, -12167
-8672, -1, 17, 18, -306, 16, -272, -324, 5508, -256, 4352, 4096
-100, 1, 4, 5, 20, 3, 12, 25, 100, 9, 36, 27
9214, -1, -16, -15, -240, -17, -272, -225, -3600, -289, -4624, -4913
-2180, -1, 11, 12, -132, 10, -110, -144, 1584, -100, 1100, 1000
14436, 1, -19, -18, 342, -20, 380, 324, -6156, 400, -7600, -8000
-32450, -1, 26, 27, -702, 25, -650, -729, 18954, -625, 16250, 15625
1780, -1, -9, -8, -72, -10, -90, -64, -576, -100, -900, -1000
57598, -1, -30, -29, -870, -31, -930, -841, -25230, -961, -28830, -29791
