w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a2/y, a2x/y, b2/y, b2x/y, b3/y
10, 1, 9, 10, 90, 8, 72, 100, 900, 64, 576, 512
30, 1, 29, 30, 870, 28, 812, 900, 26100, 784, 22736, 21952
-1, 1, -2, -1, 2, -3, 6, 1, -2, 9, -18, -27
12, 1, 11, 12, 132, 10, 110, 144, 1584, 100, 1100, 1000
-26, -1, -27, -26, -702, -28, -756, -676, -18252, -784, -21168, -21952
29, 1, 28, 29, 812, 27, 756, 841, 23548, 729, 20412, 19683
19, -1, 18, 19, -342, 17, -306, -361, 6498, -289, 5202, 4913
9, 1, 8, 9, 72, 7, 56, 81, 648, 49, 392, 343
2, 1, 1, 2, 2, 0, 0, 4, 4, 0, 0, 0
-10, -1, -11, -10, -110, -12, -132, -100, -1100, -144, -1584, -1728
-25, 1, -26, -25, 650, -27, 702, 625, -16250, 729, -18954, -19683
20, 1, 19, 20, 380, 18, 342, 400, 7600, 324, 6156, 5832
-13, -1, -14, -13, -182, -15, -210, -169, -2366, -225, -3150, -3375
-27, 1, -28, -27, 756, -29, 812, 729, -20412, 841, -23548, -24389
-28, 1, -29, -28, 812, -30, 870, 784, -22736, 900, -26100, -27000
20, -1, 19, 20, -380, 18, -342, -400, 7600, -324, 6156, 5832
16, -1, 15, 16, -240, 14, -210, -256, 3840, -196, 2940, 2744
9, -1, 8, 9, -72, 7, -56, -81, 648, -49, 392, 343
14, 1, 13, 14, 182, 12, 156, 196, 2548, 144, 1872, 1728
18, 1, 17, 18, 306, 16, 272, 324, 5508, 256, 4352, 4096
4, -1, 3, 4, -12, 2, -6, -16, 48, -4, 12, 8
22, 1, 21, 22, 462, 20, 420, 484, 10164, 400, 8400, 8000
-6, -1, -7, -6, -42, -8, -56, -36, -252, -64, -448, -512
17, -1, 16, 17, -272, 15, -240, -289, 4624, -225, 3600, 3375
-3, -1, -4, -3, -12, -5, -20, -9, -36, -25, -100, -125
31, -1, 30, 31, -930, 29, -870, -961, 28830, -841, 25230, 24389
-3, 1, -4, -3, 12, -5, 20, 9, -36, 25, -100, -125
-14, 1, -15, -14, 210, -16, 240, 196, -2940, 256, -3840, -4096
-7, -1, -8, -7, -56, -9, -72, -49, -392, -81, -648, -729
0, -1, -1, 0, 0, -2, -2, 0, 0, -4, -4, -8
-14, -1, -15, -14, -210, -16, -240, -196, -2940, -256, -3840, -4096
-9, -1, -10, -9, -90, -11, -110, -81, -810, -121, -1210, -1331
-9, 1, -10, -9, 90, -11, 110, 81, -810, 121, -1210, -1331
-28, -1, -29, -28, -812, -30, -870, -784, -22736, -900, -26100, -27000
-19, -1, -20, -19, -380, -21, -420, -361, -7220, -441, -8820, -9261
-20, -1, -21, -20, -420, -22, -462, -400, -8400, -484, -10164, -10648
30, -1, 29, 30, -870, 28, -812, -900, 26100, -784, 22736, 21952
5, -1, 4, 5, -20, 3, -12, -25, 100, -9, 36, 27
6, -1, 5, 6, -30, 4, -20, -36, 180, -16, 80, 64
23, 1, 22, 23, 506, 21, 462, 529, 11638, 441, 9702, 9261
