w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-80, 1, 9, 10, 90, 8, 72, 100, 900, 64, 576, 512
-840, 1, 29, 30, 870, 28, 812, 900, 26100, 784, 22736, 21952
-3, 1, -2, -1, 2, -3, 6, 1, -2, 9, -18, -27
-120, 1, 11, 12, 132, 10, 110, 144, 1584, 100, 1100, 1000
728, -1, -27, -26, -702, -28, -756, -676, -18252, -784, -21168, -21952
-783, 1, 28, 29, 812, 27, 756, 841, 23548, 729, 20412, 19683
323, -1, 18, 19, -342, 17, -306, -361, 6498, -289, 5202, 4913
-63, 1, 8, 9, 72, 7, 56, 81, 648, 49, 392, 343
0, 1, 1, 2, 2, 0, 0, 4, 4, 0, 0, 0
120, -1, -11, -10, -110, -12, -132, -100, -1100, -144, -1584, -1728
-675, 1, -26, -25, 650, -27, 702, 625, -16250, 729, -18954, -19683
-360, 1, 19, 20, 380, 18, 342, 400, 7600, 324, 6156, 5832
195, -1, -14, -13, -182, -15, -210, -169, -2366, -225, -3150, -3375
-783, 1, -28, -27, 756, -29, 812, 729, -20412, 841, -23548, -24389
-840, 1, -29, -28, 812, -30, 870, 784, -22736, 900, -26100, -27000
360, -1, 19, 20, -380, 18, -342, -400, 7600, -324, 6156, 5832
224, -1, 15, 16, -240, 14, -210, -256, 3840, -196, 2940, 2744
63, -1, 8, 9, -72, 7, -56, -81, 648, -49, 392, 343
-168, 1, 13, 14, 182, 12, 156, 196, 2548, 144, 1872, 1728
-288, 1, 17, 18, 306, 16, 272, 324, 5508, 256, 4352, 4096
8, -1, 3, 4, -12, 2, -6, -16, 48, -4, 12, 8
-440, 1, 21, 22, 462, 20, 420, 484, 10164, 400, 8400, 8000
48, -1, -7, -6, -42, -8, -56, -36, -252, -64, -448, -512
255, -1, 16, 17, -272, 15, -240, -289, 4624, -225, 3600, 3375
15, -1, -4, -3, -12, -5, -20, -9, -36, -25, -100, -125
899, -1, 30, 31, -930, 29, -870, -961, 28830, -841, 25230, 24389
-15, 1, -4, -3, 12, -5, 20, 9, -36, 25, -100, -125
-224, 1, -15, -14, 210, -16, 240, 196, -2940, 256, -3840, -4096
63, -1, -8, -7, -56, -9, -72, -49, -392, -81, -648, -729
0, -1, -1, 0, 0, -2, -2, 0, 0, -4, -4, -8
224, -1, -15, -14, -210, -16, -240, -196, -2940, -256, -3840, -4096
99, -1, -10, -9, -90, -11, -110, -81, -810, -121, -1210, -1331
-99, 1, -10, -9, 90, -11, 110, 81, -810, 121, -1210, -1331
840, -1, -29, -28, -812, -30, -870, -784, -22736, -900, -26100, -27000
399, -1, -20, -19, -380, -21, -420, -361, -7220, -441, -8820, -9261
440, -1, -21, -20, -420, -22, -462, -400, -8400, -484, -10164, -10648
840, -1, 29, 30, -870, 28, -812, -900, 26100, -784, 22736, 21952
15, -1, 4, 5, -20, 3, -12, -25, 100, -9, 36, 27
24, -1, 5, 6, -30, 4, -20, -36, 180, -16, 80, 64
-483, 1, 22, 23, 506, 21, 462, 529, 11638, 441, 9702, 9261
-143, 1, 12, 13, 156, 11, 132, 169, 2028, 121, 1452, 1331
440, -1, 21, 22, -462, 20, -420, -484, 10164, -400, 8400, 8000
-80, 1, -9, -8, 72, -10, 90, 64, -576, 100, -900, -1000
35, -1, 6, 7, -42, 5, -30, -49, 294, -25, 150, 125
3, -1, -2, -1, -2, -3, -6, -1, -2, -9, -18, -27
-120, 1, -11, -10, 110, -12, 132, 100, -1100, 144, -1584, -1728
575, -1, -24, -23, -552, -25, -600, -529, -12696, -625, -15000, -15625
-255, 1, 16, 17, 272, 15, 240, 289, 4624, 225, 3600, 3375
-35, 1, 6, 7, 42, 5, 30, 49, 294, 25, 150, 125
-483, 1, -22, -21, 462, -23, 506, 441, -9702, 529, -11638, -12167
288, -1, 17, 18, -306, 16, -272, -324, 5508, -256, 4352, 4096
-15, 1, 4, 5, 20, 3, 12, 25, 100, 9, 36, 27
255, -1, -16, -15, -240, -17, -272, -225, -3600, -289, -4624, -4913
120, -1, 11, 12, -132, 10, -110, -144, 1584, -100, 1100, 1000
-360, 1, -19, -18, 342, -20, 380, 324, -6156, 400, -7600, -8000
675, -1, 26, 27, -702, 25, -650, -729, 18954, -625, 16250, 15625
80, -1, -9, -8, -72, -10, -90, -64, -576, -100, -900, -1000
899, -1, -30, -29, -870, -31, -930, -841, -25230, -961, -28830, -29791
-440, 1, -21, -20, 420, -22, 462, 400, -8400, 484, -10164, -10648
783, -1, -28, -27, -756, -29, -812, -729, -20412, -841, -23548, -24389
168, -1, -13, -12, -156, -14, -182, -144, -1872, -196, -2548, -2744
-288, 1, -17, -16, 272, -18, 306, 256, -4352, 324, -5508, -5832
624, -1, 25, 26, -650, 24, -600, -676, 16900, -576, 14400, 13824
-399, 1, -20, -19, 380, -21, 420, 361, -7220, 441, -8820, -9261
35, -1, -6, -5, -30, -7, -42, -25, -150, -49, -294, -343
575, -1, 24, 25, -600, 23, -552, -625, 15000, -529, 12696, 12167
323, -1, -18, -17, -306, -19, -342, -289, -5202, -361, -6498, -6859
-528, 1, 23, 24, 552, 22, 506, 576, 13248, 484, 11132, 10648
-195, 1, -14, -13, 182, -15, 210, 169, -2366, 225, -3150, -3375
-899, 1, 30, 31, 930, 29, 870, 961, 28830, 841, 25230, 24389
0, 1, -1, 0, 0, -2, 2, 0, 0, 4, -4, -8
288, -1, -17, -16, -272, -18, -306, -256, -4352, -324, -5508, -5832
-35, 1, -6, -5, 30, -7, 42, 25, -150, 49, -294, -343
168, -1, 13, 14, -182, 12, -156, -196, 2548, -144, 1872, 1728
360, -1, -19, -18, -342, -20, -380, -324, -6156, -400, -7600, -8000
-195, 1, 14, 15, 210, 13, 182, 225, 3150, 169, 2366, 2197
0, -1, 1, 2, -2, 0, 0, -4, 4, 0, 0, 0
195, -1, 14, 15, -210, 13, -182, -225, 3150, -169, 2366, 2197
